"著者","題目","出典","要約","年月","DOI/Handle"
"H. Okada, T. Yamazato, M. Katayama and A. Ogawa","CDMA Unslotted ALOHA Systems with Finite Buffers","IEEE International Conference on Universal Personal Communications (ICUPC), vol.2, pp.1143-1147, Florence, Italy","A CDMA unslotted ALOHA system with finite size of queueing buffers is discussed. We
     introduce an analytical model in which the system is divided into two Markov chains; one is
     in user part, and the other is in channel part. We analyze the queueing system using this
     analytical model, and evaluate the effect of buffer capacity in terms of the throughput,
     rejection probability and average delay. As a result, increase in the buffer size brings
     about an improvement in the grade of service in terms of higher throughput and lower
     rejection probability. ","1998年10月","10.1109/ICUPC.1998.733679,"
"H. Okada, T. Yamazato, M. Katayama, A. Ogawa","Queueing Analysis of CDMA Unslotted ALOHA Systems with Finite Buffers","IEICE Transaction on Fundamentals, vol.E81-A, no.10, pp.2083-2091","CDMA unslotted ALOHA system with finite size of queueing buffers is discussed in this
     paper. We introduce an analytical model in which the system is divided into two Markov
     chains; one is in the user part, and the other is in the channel part. In the user part, we
     can model the queueing behavior of the user station as an M/G/1/B queue. In the channel
     part, we can consider the number of simultaneously transmitted packets as an
     M1+M2/D/infinity//K queue. We analyze the queueing system by using this analytical
     model, and evaluate the effect of buffer capacity in terms of the throughput, the rejection
     probability and the average delay. As a result, increase in the buffer size brings about an
     improvement in the grade of service in terms of higher throughput and lower rejection
     probability. ","1998年10月",""
"T. Yamazato, A. Fujiwara, M. Katayama, A. Ogawa","Effect of Nonlinear Amplification on Multi-Code DS/SS System","International Symposium on Nonlinear Theory and its Applications (NOLTA), pp.1233-1236, Crans-Montana, Switzerland","","1998年9月",","
"A. Morimoto, M. Katayama, T. Yamazato and A. Ogawa","Problems of Implementing Adaptive Array Antennas in CDMA Systems","IEEE International Symposium on Personal, Indoor and Mobile Radio Communication (PIMRC), vol.3, pp1422-1426, Boston, USA","","1998年9月","10.1109/PIMRC.1998.731432,"
"T. Yamazato, H. Okada,M. Katayama and A. Ogawa","Access Control Techniques for CDMA ALOHA","IEEE International Symposium on Spread Spectrum Techniques and Applications (ISSSTA), vol.1, pp.293-297, Sun City, South Africa","","1998年9月","10.1109/ISSSTA.1998.726245,"
"佐藤 毅, アバス サンドゥーク, 山里 敬也, 片山 正昭, 小川 明","音声信号とデータパケットの混在する CDMA システムの特性解析","IEICE Transaction on Communications, vol.J81-B-II, no.08, pp.733-741","本研究ではチャネルロードセンシングプロトコルで伝送されているデータパケットとCDMA音声信号の混在システムに対し解
析を行う．音声信号は一定時間に伝送を終了させなければならない等時性を必要とするメディア，データパケットは時間的な遅延は許容さ
れるが，高信頼性の要求されるメディアであることを考慮する．音声信号に対するブロッキング確率，アーランキャパシティを求め，デー
タパケットに対するスループットを求める．CDMAを用いたシステムにおける特性はその同時送信局数に強く依存する．特に，このシステ
ムにおいては異なったメディアの呼が混在するため，それぞれお互いのトラヒックの影響も考慮しなければならない．本論文ではその点に
着目し，それぞれのメディアの要求品質と同時送信局数の関係からお互いのトラヒックの影響を解析し，2種類のメディアの存在するシス
テムの最適化を考える．更にシステム最適化のための指標であるシステムキャパシティを導出し，チャネルを最大限有効に利用するための
データオファードロードを求める．
","1998年8月",""
"H. Okada, T. Yamazato, M. Katayama, A. Ogawa","CDMA Slotted ALOHA System with Finite Buffers","IEICE Transaction on Fundamentals, vol.E81-A, no.7, pp.1473-1478","In this paper, CDMA slotted ALOHA system with finite size of buffers is proposed. To
     analyze the system performance, we use the linear approximate solution based on
     restricted occupancy urn models. We evaluate the system performance in terms of
     throughput, average delay, and rejection probability and clarify the effect of buffer
     capacity. ","1998年7月",""
"原田政明, 山里敬也, 片山正昭, 小川 明","OFDM 通信方式における非直線劣化の軽減手法に関する一検討","電子情報通信学会技研報告, vol.RCS98-61, pp.25-30 (1998-07)","","1998年7月",""
"松井宗太, 牧戸知史, 山里敬也, 片山正昭, 小川 明","軟判定ビタビ復号を用いた Turbo-codes の並列復号に関する一考察","電子情報通信学会技研報告, vol.IT98-21, pp.17-22 (1998-07)","","1998年7月",""
"森本彰人, 片山正昭, 山里敬也, 小川 明","CDMA システムに適したアダプティブアレーアンテナの制御方式","電子情報通信学会技研報告, vol.CS98-56, pp.7-14 (1998-07)","","1998年7月",""
"猪飼洋平, 片山正昭, 山里敬也, 小川 明","空間ダイバシチ技術を用いたスペクトル拡散信号の同期捕捉","電子情報通信学会技研報告, vol.SST98-24, pp.53-59 (1998-07)","","1998年7月",""
"岡田 啓, 山里 敬也, 片山 正昭, 小川 明","有限ユーザCDMA Unslotted ALOHA方式のスループット解析法に関する一検討","電子情報通信学会論文誌A, vol.J81-A, no.7, pp.1089-1092","CDMA Unslotted ALOHA方式のスループット特性を，ユーザ数有限 という条件の下で待ち
     行列モデルを用いて解析的に導出し，特性評価を行う．また この方式にCLSPを適用したシ
     ステムも同様にして特性を解析的に導出する． ","1998年7月",""
"藤原昭博, 和田忠浩, 山里敬也, 片山 正昭, 小川 明","直交マルチコードシステムの相互相関特性に関する一考察","電子情報通信学会技研報告, vol.SST98-13, pp.19-24 (1998-06)","","1998年6月",""
"H. Okada, T. Yamazato, M. Katayama and A. Ogawa","Queueing Analysis of CDMA Slotted ALOHA Systems with Finite Buffer and Finite Population Assumptions","IEEE International Conference on Communications (ICC), vol.1, pp.407-411, Atlanta, USA","In this paper, we analyze the CDMA slotted ALOHA systems with finite buffer and finite
     population assumptions by expanding the linear approximate solution based on restricted
     occupancy urn models. We evaluate the system performance in terms of throughput,
     average delay, and rejection probability. Moreover, we clarify the effect of buffer capacity
     by changing the buffer size. ","1998年6月","10.1109/ICC.1998.682883,"
"柴田伝幸，藤元美俊，鈴木徳祥，西川訓利，山里敬也，小川明","マルチキャリア伝送における無線回線の状態情報を取り入れた回線制御方式","1998年電子情報通信学会総合大会，vol.B-5-23, p.387","","1998年3月",""
"牧戸知史, 山里敬也, 片山 正昭, 小川 明","重み付けされたスペクトル拡散変調を用いたハフマン符号の並列伝送に関する検討","電子情報通信学会技研報告, vol.SST97-117, pp.19-24 (1998-03)","","1998年3月",""
"O. Ohno, M. Katayama, T. Yamazato and A. Ogawa","A Simple Model of Cyclostationary Power-line Noise for Communication Systems","International Symposium on Power-Line Communications and its Applications, pp.115-222, Tokyo, Japan","","1998年3月",""
"本庄勝, 牧戸知史, 山里敬也, 片山正昭, 小川明","H.263の伝送路誤りに対する影響","1998年電子情報通信学会総合大会, vol. B-5-234, pp. 598","MPEGやH.シリーズは，ノイズフリーを想定しており，無線環境の様な誤りが生じる通信を考えておらず，画像符号化の特徴を捉えた様な通信路符号化は考えていない．このため，画像ビットストリーム中に1ビットの誤りがあったとしても，その画像が受信画像に大きく現れる恐れがある．そこで本研究では，従来のMPEG，H.シリーズ等の高能率画像符号化法の効果的な無線伝送の立場から，これらの誤りに対する影響について示す．H.263に着目し，伝送路でランダム誤りが生じた時の受信画像の影響を調べる．特にイントラ符号化とインター符号化での誤りの影響について調べている．","1998年3月",""
"森本彰人, 片山正昭, 山里敬也, 小川明","拡散率の異なる SS 信号の同時伝送システムへのアダプティブアレーアンテナ の適用に関する研究","電子情報通信学会技研報告, vol.A・P97-215, pp.101-108 (1998-02)","","1998年2月",""
"牧戸知史, 山里敬也, 片山正昭, 小川明","Wireless Transmission of Huffman code using DS/SS Modulation","電子情報通信学会技研報告, vol.CS97-173, pp.37-42 (1998-01)","","1998年1月",""
"張立嵩, 片山正昭, 山里敬也, 小川明","Performance Analysis of Multi Processing-Gain CDMA System with Interference Cancellation","電子情報通信学会技研報告, vol.CS97-165, pp.119-124 (1998-01)","","1998年1月",""
